Name	Project / product name	Link	Type (Large Co, SME, Academic, Research and Technology Organisation)	Global HQ Inc Postcode where possible. 	Postcode (extra)	UK postcode	Latitude	Longitude	Technology Developer	Drone-powered services	Services to drone operators / industry	Academic / Research Institution	Other drone-related entitiy
Skyfutures	Drone based industrial inspections	https://www.sky-futures.com/	SME	UK		UB3 1HA	51.50448	-0.42644	1	1	1
SenSat	Mapp	www.sensat.co.uk	SME	London, United Kingdom		EC1Y 2AB	51.52255	-0.08749	1	1	1
Future Aerial Innovations	DON (Drone operations network), Future Drone Cloud.	futureaerial.com	SME	W5 3DJ		W5 3DJ	51.52759	-0.28902	1	1	1		1
UAVE Limited		http://www.uave.co.uk/	SME	UAVE Limited, Tudor Hall, Llwyndafydd, Llandysul, Wales	SA44 6BZ	SA44 6BZ	52.1762	-4.40065	1	1	1
Rsk Orbital Limited	Orbital and Visivi	rskorbital.com	SME	Tattenhall, United Kingdom		CH3 9RF	53.12067	-2.76768	1	1	1
Eagle Eye Innovations	Rusta, Strax, Other services	www.eeinnovationsltd.com	SME	NG23 7NE		NG23 7NE	53.15327	-0.75524	1	1	1
GeoMapper	Geo-Mapper	www.geomapper.co.uk	SME	DN10 6JW		DN10 6JW	53.43039	-1.02147	1	1	1
Suave Aerial Photographers		suaveairphotos.co.uk		aerial survey,air traffic control,aerial photography,curtain wall,civil engineering,general contractor,12th century,building information modeling,13th century,information model		WA10 3TP	53.4462	-2.75625	1	1	1
Drone Ops	Drone Ops	drone-operations.com	SME	NE4 5TF		NE4 5TF	54.97238	-1.62343	1	1	1
QuestUAV		questuav.com		drone operations,drone service,drone operators,flight planning,commercial drone,aerial survey,unmanned aircraft,aerial photography,flight hours,foundation degree	NE65 0PE	NE65 0PE	55.32726	-1.58039	1	1	1
Neva Aerospace		neva-aero.com		100 people|100 people|100 people|100 people|100 people|100 people|100 people|additional expertise|aerial technology|aerospace|aerospace|aerospace|aerospace|aerospace|aerospace|aerospace|aerospace|aerospace engineering|air freight|air freight|air freight|air freight|air freight|air freight|air freight|air freight|air vehicle|air vehicle|air vehicle|air vehicle|air vehicle|air vehicle|air vehicle|air vehicle|aircraft|aircraft|aircraft|aircraft|aircraft|aircraft|articles|associations|aviation|aviation|aviation|aviation|aviation|aviation|aviation|aviation|axes|b2b|b2b markets|based communications|bases|borders|business|business|business|business|business|business|business|business|business conduct|business leaders|business sector|commercial drone|commercial solutions|communications|community|comprehensive safety|concepts|concepts|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortia|consortium members|control tools|core focus|core technology|corporate social responsibility|corps|countless businesses|current generation|current technology|custom|data|decision - making|design|development|development|development|development|development|development|development|development|development|development|development|different company|disruptive innovation|distant locations|dna|doubt|engineering|environments|exciting development|exciting market|extended periods|fans|fans|financial institution|financial institution|financial institution|financial institution|financial institution|financial institution|financial institution|financial institution|financial investors|fixed - wing aircraft|fixed - wing aircraft|flight|flight|future|future regulations|global|global reach|government|government institutions|government institutions|government institutions|government institutions|government institutions|government institutions|government institutions|government institutions|governmental clients|growing market|heavy - weight|heavy duty|heavy load|helicopters|high - level|high standards|holding companies|holography|imaging|industrial application|industrial scale|industry|industry|industry - specific solutions|industry leader|infrastructure|innovation|institutes|interest|introductions|investors|keen interest|key clients|key clients|key clients|key clients|key clients|key clients|key clients|key clients|key technology|kingdoms|kingdoms|kingdoms|kingdoms|kingdoms|kingdoms|kingdoms|kingdoms|lasers|law|leaders|leaders|leaders|lobbying|long - term|management|management systems|manufacturing|many different companies|many talents|market analysis|markets|markets|markets|markets|markets|markets|media|members|military|military equipment|mission|mission|mission|new consortium|new market|news|news|news|next stage|observation|office|ongoing focus|original patent|ownership|paris|particular skills|patent law|patent law|patent law|patent law|patent law|patent law|patent law|patent law|patented technology|people|people|people|people|people|people|people|people|physics|places|potentials|potentials|product safety|projects|projects|propulsion|propulsion|propulsion|propulsion|quadcopters|ranges|real solutions|regulation|research|resources|robotic platform|robotic platform|robotic platform|robotic platform|robotic platform|robotic platform|robotic platform|robotic platform|robotics|robotics|robotics|robotics|robotics|robotics|robotics|robotics|robots|robots|safety|safety|scales|science|science technology|shareholders|significant leap|skills|smooth integration|solutions|solutions|solutions|solutions|space|space|space science|specific expertise|specific solutions|standards|standards|statics|statics|sustainability|sustainable solutions|systems|systems|systems|take|teams|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology|technology suppliers|technology suppliers|technology suppliers|technology suppliers|technology suppliers|technology suppliers|technology suppliers|technology suppliers|tools|tops|turbines|turbines|unmanned aerial systems|unmanned aerial vehicles|unmanned aerial vehicles|unmanned air vehicles|unmanned air vehicles|unmanned air vehicles|unmanned air vehicles|unmanned air vehicles|unmanned air vehicles|unmanned air vehicles|unmanned air vehicles|useful work|vehicles|vehicles|vehicles|vehicles|vehicles|vehicles|vehicles|vehicles|warehouse management|warehouse management system|warehouses|wells|works|world|worldwide recognition		BN1 9SB	50.86435	-0.08276	1		1
Consortiq		consortiq.com		accreditation|aerial filming|aerial platform|aerial platform|aerial video|air traffic|air traffic controllers|aircraft|aircraft|aircraft|aircraft|aircraft systems|aircraft systems|aircraft systems|alternative means|america|approved training|approved training provider|area|area|authority|authority|authority|aviation|aviation|aviation|aviation|aviation|aviation|aviation|aviation|aviation|aviation|aviation|aviation authorities|aviation authorities|aviation authorities|aviation background|aviation experience|aviation experience|aviation industry|aviation professionals|aviators|awards|awards|bespoke courses|best|best|best platform|best platform|best systems|best systems|best type|best type|big picture|big picture|broad portfolio|broads|budgets|budgets|budgets|business|business|business|business|business|business|business|business|business|business|business challenges|business challenges|business change|business development|challenges|challenges|change|cinematography|civil aviation|civil aviation|civil aviation authorities|civil aviation authorities|classroom sessions|collection methods|collection methods|collections|collections|commercial reasons|complex business|complex business|complex business challenges|complex business challenges|construction|construction|construction companies|contents|country|country|course study|courses|courses|courses|courses|courses|crucial data|crucial data|cutting|cutting edge|data|data|data|data|data|data collection|data collection|data collection methods|data collection methods|development|development|development team|diverse range|drone industry|drone operations|drone operations|drone operators|drone pilots|drone technology|drone technology|edge industries|effective way|effective way|environments|expert advice|expert advice|first responder|fixed - wing aircraft|fleet management|fleet management software|flight|flight|flight|fly|fly|fly|flying drones|force|former military|gis|gis|global|globes|greatest potential|guides|guides|guiding force|helicopters|house|house|humans|identification|identification|image|image|important role|incidents|industrial area|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry firsts|industry knowledge|information|information|innovation|innovative ways|innovative ways|key pillars|knowledge|knowledge|large organizations|law|law|law|law|law|law|lead|lead|learning|legacy|legacy|legacy data|legacy data|legal liability|legislation|legislation|licenses|lidar|lidar|management|management|many businesses|many businesses|many industries|many types|many types|marketing|marketing business|marketing business development|means|media|media|methods|methods|military|minefields|mission|mission|mission management|new industry|new industry|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|news|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|newsletters|north america|numbers|one platform|one platform|online learning|online study|organizations|organizations|organizations|organizations|organizations|organizations|organizations|organizations|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|passions|people|person|pillar|pilots|pilots|pilots|pilots|pilots|pilots|pilots|post|potentials|privacy|professional development|programs|programs|programs|programs|project management software|project management software|projects|qualifications|quality|radio|radio|radio - frequency identification|radio - frequency identification|radio frequency|radio frequency|ranges|ranges|ranges|reasoning|regulation|regulation|regulation|regulation|regulation|regulatory environment|remotely piloted aircraft|reputable company|right expertise|right expertise|rights|rights|risk|risk|safety|safety|sensors|sensors|series|service|service|service|service|service|service|service|size|skills|skills|sky|software|software|software|solutions|solutions|solutions|spirits|standards|standards|statements|study guide|systems|systems|systems|systems|talented group|teams|teams|teams|teams|teams|technology|technology|technology|technology|test|time|time|time|tops|tops|tops|tops|traffic controller|traffic law|training|training|training|training|training|training|training|training organizations|training programs|training providers|training standards|training standards|transformational business|unique mix|unique range|unique range|unmanned aircraft|unmanned aircraft|unmanned aircraft|unmanned aircraft systems|unmanned aircraft systems|varied expertise|video|video|video|whatever industry|whatever industry|whole solution|whole solution|works|years|years	PO15 7FH	PO15 7FH	50.87791	-1.24518	1		1		1
QinetiQ		https://www.qinetiq.com/What-we-do/Air/Unmanned-Aircraft-Systems				GU14 0LX	51.27606	-0.76154	1		1
Altitude Angel	Guardian UTM	www.altitudeangel.com	SME	Reading, United Kingdom		RG1 1NU	51.45733	-0.97604	1		1
Gettrik Ltd		http://www.gettrik.com/				SW3 3PB	51.49204	-0.16657	1		1
H Robotics	HiSight, FlightCloud	hrobotics.co.uk	SME	London, United Kingdom		SW1X 7HN	51.50006	-0.14965	1		1
Flock	Pay as you fly drone Insurance	flockcover.com	SME	EC1A		EC1A	51.5203	-0.104471	1		1
Bence Command		bencecommand.com		business|communications|control equipment|decades|emergency healthcare|emergency services|equipment|industry|industry|innovation|latest innovations|latest technology|lead|leading solutions|marketing|military|mobile monitoring|police|rescue|rescue services|sea air|seas|service|service|solutions|technical expertise|technology|tradition|utility|utility industry|world		BS37 5NG	51.54835	-2.43396	1		1
Dtsi Consulting		dtsigroup.co.uk		area|beacons|blacks|business|business|business development|commercial military markets|consulting|continual improvement process|development|drone technology|easy reach|fly|integration consulting|markets|military|military markets|mountains|planning|robotics|sensors|service|software|software solutions|solutions|solutions|south wales|strategic planning|systems|systems|systems|systems services|technology|technology solutions|unmanned aerial systems|unmanned aerial vehicles|vehicles|wales		NP25 5JA	51.80722	-2.72988	1		1		1
Cranfield Aerospace	DEMON UAV - FLAVIIR - Flapless Air Vehicle Integrated Industrial Research	cranfieldaerospace.com	RTO			MK43 0AL	52.07392	-0.62876	1		1
Arjun Technology Ventures	Kisan Hub	www.kisanhub.com	SME	Cambridge, United Kingdom		CB4 2HY	52.23482	0.129527	1		1
Geospatial Insight		geospatial-insight.com		business|business|business intelligence|enviable market position|geospatial|geospatial|geospatial|geospatial intelligence|intelligence|intelligence|lead|leading provider|market position|markets|markets|portals|satellite imagery|satellites|secure portal|service|teams|world		B46 1HT	52.50625	-1.70631	1		1		1
Createc		createc.co.uk		aerial photography,technical education,machine vision,research fellow,software system,energy industry,medical physics,explosive detection,mechanical engineering,computational science	CA13 0HT	CA13 0HT	54.66724	-3.36608	1		1
Eagle Pride Drones		eaglepridedrones.com		commercial grade|great opportunity|industry|knowledge|many operators|many years|markets|news|years		NE24 5TW	55.1323	-1.53152	1		1
Alti-Velo Industrial UAV Rentals		altivelo.com		business address|client visits|new start|news		AB41 9QH	57.36344	-2.05027	1		1
Perceptual Robotics	Dhalion	www.perceptual-robotics.com	SME	BS16 1QY		BS16 1QY	51.50108	-2.54746	1	1
Faradair Aerospace Limited	Beha	http://faradair.com/fwp/	SME	Cirencester, Gloucestershire	GL7 6JJ	GL7 6JJ	51.70907	-1.98325	1
SysBrain Ltd		http://www.sysbrain.com				SO19 9TE	50.88799	-1.3741	1	1
Boeing 	Insitu Pacific	http://www.boeing.co.uk/ 	Large Company	USA/Australia		SW1H 0EX	51.49813	-0.13261	1	1
Terrabotics		http://www.terrabotics.co.uk/				WC2H 9JQ	51.514897	-0.123615	1	1
Aerial Power Limited	Solarbrush	www.aerialpower.com	SME	WC2H 9JQ		WC2H 9JQ	51.5149	-0.12362	1	1
Hummingbird Technologies		hummingbirdtech.com		actionable data|agronomy|business|consumption|crop health|crop management|crops|crops|crops|crops|data|detailed insight|detailed understanding|farmers|flight|food|global|health|high resolution|industry|innovative start|long - term|management|management tools|one way|population|population growth|production growth|ranges|short space|space|startup company|sustainable way|technology|time|tools|world population|years	W1D 3QX	W1D 3QX	51.51492	-0.13281	1	1
The Bionic Eye		thebioniceye.co.uk/		affordable prices|area|asset|bases|best|best cameras|building|building|cables|cameras|cameras|case study|challenges|challenges|challenges|change|construction|construction|construction|construction|consultancy role|corporate video|corporations|costs|costs|cranes|creative background|customer case studies|day|detailed survey|digital cameras|equipment|equipment|equipment manufacturers|examples|eye|eye|eye|film|film industry|finished building|high resolution|individual needs|individuals|industry|industry|industry|industry - specific solutions|industry pioneer|insurance|last year|lead|leading equipment|leading equipment manufacturers|lidar|manufacturing|manufacturing|many cases|markets|markets|markets|materials|media|metres|office|photography|pioneers|places|portals|projects|property|rail construction|rails|rails|ranges|ranges|ranges|real estate development|service|service|service|skills|software|solutions|solutions|solutions|solutions|specialist markets|specialist markets|specialist markets|specialist services|specialist services|specialist services|specialized technology|specific individual needs|specific individuals|specific solutions|step change|streamlined application|streamlined application|streamlined application|stunning visuals|surveyors|surveys|surveys|systems|systems|targeted solutions|targeted solutions|targeted solutions|technology|technology|time|travel|travel costs|unmanned vehicles|unmanned vehicles|utility|utility construction|valuable time|vehicles|vehicles|video|video|video|vision|visual arts|visual arts|visual imagery|wide range|wide range|wide range|works|world|years		HP9 1NB	51.60137	-0.63853	1	1
UAVAID		https://www.uavaid.com				HA8 8SA	51.62756	-0.27557	1	1
AmeyVTOL		https://www.amey.co.uk/a-better-future/2017/may/the-future-of-asset-inspection/		drone technology,civil aviation,equal voice,holistic education,model school,head teacher,school days,pavement management,first school,every child	OX4 4DQ,L13 3HS,L19 2PH,EC1N 6TE,EH2 1BG	OX4 4DQ	51.71391	-1.21962	1	1
Centremaps		centremapslive.co.uk/help/which-service		unmanned aerial vehicles,aerial photography,digital mapping,3d modeling,data solutions,data partners,geospatial data,digital map,industrial inspection,premier partner	WR14 1UT,RM11 2DL	WR14 1UT	52.14264	-2.33052	1	1
Skyview Robotics		skyviewrobotics.uk		aerial drone,unmanned aerial vehicles,aerial photography,visible spectrum,solar panel,software engineering,future generations,tree farm,agricultural land,technology companies	IP20 0LP	IP20 0LP	52.35981	1.381105	1	1
Search Systems		 https://searchsystems.eu/				BT65 9BT	54.4447	-6.36599	1	1
AuraTech Engineering	Auratech, ATLAS	www.auratech.co.uk	SME	Darlington, United Kingdom	DL1 1GL	DL1 1GL	54.52357	-1.5446	1	1
Cyberhawk	Cyberhawk UAV Inspection & Survey	https://www.thecyberhawk.com/	SME	UK		EH54 7GA	55.87259	-3.54877	1	1
Drodion		drodion.com		actionable data|agriculture|antennas|attacks|auditing|based company|bases|bases|business|cameras|capital|communications|computers|costs|costs|data|data|data|data centers|detection solutions|detection solutions|detection systems|difference|different models|drone detection|drone detection|drone detection|drone markets|europe|existing issues|eye|farmers|fly|foresters|forestry|hobbyists|human eye|humans|industry|infrastructure|latest sensor|local communications|major benefits|manufacturing plants|markets|markets|markets|matter|models|navigation|navigation system|operating cost|patent law|planes|prisons|quick action|radar|radar|satellite navigation systems|satellite navigation systems|satellites|security|security auditing|sensors|service|software|solutions|solutions|solutions|solutions|state|surveillance|surveillance|surveillance|surveillance industry|surveillance market|surveillance market|surveillance solutions|survey methodology|surveys|surveys|surveys|systems|systems|technology|technology|technology|terrorist attacks|time|vehicles|weapons|world		EH21 8QD	55.91268	-3.00228	1	1
Dartcom		dartcom.co.uk/home		satellite imagery,aerial photography,amateur radio,research stations,custom software,application development,software development,software product,software engineering,data visualization		PL20 6SP	50.57582	-3.93915	1
ALLSOPP HELIKITES		allsopphelikites.com		aerial photography,base station,fiber optics,video surveillance,electric power,square mile,air pollution,patent law,emergency healthcare,special forces		BH23 1EF	50.73451	-1.773	1
Cobham		cobham.com				BH21 2BJ	50.79667	-1.96858	1
QuadH2O	QuadH2O, HexH2O, SaraH2O, HexH2O Pro	www.quadh2o.com	SME	BN11		BN11	50.8137	-0.37547	1
Maplebird		http://www.maplebird.com/mb_pub				BN1 1WN	50.82446	-0.13719	1
Tasuma UK 		tasuma-uk.com				DT11 7UZ	50.86867	-2.16081	1
